time,open,high,low,close,tick_volume,spread,real_volume
2026.06.01 00:00:00,4539.51,4539.7,4537.22,4538.49,344,35,0
2026.06.01 00:01:00,4538.42,4540.77,4538.28,4540.13,291,43,0
2026.06.01 00:02:00,4540.13,4541.8,4540.03,4541.14,261,43,0
2026.06.01 00:03:00,4541.17,4542.66,4541.13,4541.16,214,43,0
2026.06.01 00:04:00,4541.16,4545.78,4541.01,4544.92,253,42,0
2026.06.01 00:05:00,4544.84,4544.85,4543.39,4543.52,255,43,0
2026.06.01 00:06:00,4543.61,4544.77,4541.77,4542.27,215,43,0
2026.06.01 00:07:00,4542.26,4542.89,4541.53,4542.81,174,43,0
2026.06.01 00:08:00,4542.82,4543.4,4541.41,4541.66,190,43,0
2026.06.01 00:09:00,4541.88,4541.88,4540.47,4540.64,166,43,0
2026.06.01 00:10:00,4540.6,4543.55,4540.4,4542.94,209,43,0
2026.06.01 00:11:00,4542.66,4542.68,4539.63,4540.81,232,43,0
2026.06.01 00:12:00,4540.81,4541.3,4539.24,4539.61,217,43,0
2026.06.01 00:13:00,4539.62,4540.94,4539.6,4540.47,239,43,0
2026.06.01 00:14:00,4540.49,4540.69,4539.7,4540.61,213,43,0
2026.06.01 00:15:00,4540.49,4543.56,4540.4,4541.97,261,42,0
2026.06.01 00:16:00,4541.97,4542.12,4539.98,4540.47,225,42,0
2026.06.01 00:17:00,4540.47,4540.59,4537.94,4538.85,242,42,0
2026.06.01 00:18:00,4538.86,4539.04,4537.9,4538.45,226,42,0
2026.06.01 00:19:00,4538.45,4538.72,4537.62,4538.23,230,42,0
2026.06.01 00:20:00,4538.23,4539.62,4538.07,4539.05,225,42,0
2026.06.01 00:21:00,4539.1,4540.21,4538.25,4538.99,189,42,0
2026.06.01 00:22:00,4538.99,4541.76,4538.44,4539.98,200,42,0
2026.06.01 00:23:00,4539.98,4540.98,4539.31,4540.84,195,42,0
2026.06.01 00:24:00,4540.87,4540.89,4539.73,4540.7,173,42,0
2026.06.01 00:25:00,4540.72,4541.16,4539.99,4540.4,194,42,0
2026.06.01 00:26:00,4540.42,4541.37,4539.63,4541.25,196,42,0
2026.06.01 00:27:00,4541.7,4542.33,4541.21,4541.84,216,43,0
2026.06.01 00:28:00,4541.84,4544.2,4541.39,4544.02,219,35,0
2026.06.01 00:29:00,4543.95,4544.06,4542.16,4542.91,264,43,0
2026.06.01 00:30:00,4542.89,4544.83,4541.7,4541.73,247,41,0
2026.06.01 00:31:00,4541.77,4542.48,4540.4,4540.4,224,41,0
2026.06.01 00:32:00,4540.4,4541.28,4539.91,4539.95,186,43,0
2026.06.01 00:33:00,4539.94,4540.16,4537.34,4537.46,252,35,0
2026.06.01 00:34:00,4537.46,4538.15,4535.76,4537.98,260,42,0
2026.06.01 00:35:00,4537.96,4538.74,4536.22,4537.43,257,42,0
2026.06.01 00:36:00,4537.46,4537.53,4535.18,4535.78,205,43,0
2026.06.01 00:37:00,4535.79,4537.6,4535.5,4537.12,203,43,0
2026.06.01 00:38:00,4537.18,4537.23,4536.3,4537.01,189,43,0
2026.06.01 00:39:00,4537.01,4537.09,4536.18,4536.79,201,43,0
2026.06.01 00:40:00,4536.79,4537.06,4535.23,4536.03,207,43,0
2026.06.01 00:41:00,4536.03,4536.94,4535.33,4536.24,198,43,0
2026.06.01 00:42:00,4536.24,4536.62,4535.66,4536.3,193,43,0
2026.06.01 00:43:00,4536.31,4537.33,4535.72,4536.5,214,43,0
